Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0215434044943695,-0.00103995912400713,0.335414105218849,0,0,0,49.7328414734792,0.984480079808739,-0.000360413353967926,0.0540455984733168,2.18214423656878,-0.000762247577087442,2.21383185023579,0,0,0,0,0,0,package://dabai/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://dabai/meshes/base_link.STL,,baselink-1,baselink <baselink-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
camera_Link,1.76998676938736E-17,-0.0421619986330686,-0.00198394192381568,0,0,0,7.89795354267411,0.0414196932276227,-5.82662976281917E-19,5.89906111302013E-19,0.0251557885229125,-0.000422298404546788,0.0329009847590903,0,0,0,0,0,0,package://dabai/meshes/camera_Link.STL,1,1,1,1,0,0,0,0,0,0,package://dabai/meshes/camera_Link.STL,,camera-1,baselink <baselink-1>,,camera,fixed,0.277,0,0.888,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
lidar_Link,-2.82993707677662E-18,0.00057956722758995,0.0358805205158776,0,0,0,0.241672878316792,0.000198523521424822,9.55491588139032E-21,6.87904885603074E-21,0.000192886838365622,3.47413294984297E-06,0.000124139486407032,0,0,0,0,0,0,package://dabai/meshes/lidar_Link.STL,1,1,1,1,0,0,0,0,0,0,package://dabai/meshes/lidar_Link.STL,,lidar-1,baselink <baselink-1>,,lidar,fixed,0.46245,0,-0.015529,0.5236,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
rslidar_Link,0.000186795470860655,0.00209001700760081,0.0365813705634134,0,0,0,0.118522641382008,0.00013387553459028,-6.23732681354514E-07,2.58949508268793E-08,0.000133313132563451,-4.54120102392137E-08,0.000242424728275681,0,0,0,0,0,0,package://dabai/meshes/rslidar_Link.STL,1,1,1,1,0,0,0,0,0,0,package://dabai/meshes/rslidar_Link.STL,,rslidar-1,baselink <baselink-1>,,rslidar,fixed,0.548,0,0.539,0,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
